alignment_id,surface_raw,analysis_type,analysis_value,source_id,source_location,dialect_scope,status,semantic_note
GP-P2-01-u,rizóu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-01-lu,rizálu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-03-u,ruyoou',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-03-lu,ruyaalu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-04-u,napu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-04-lu,nápalu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-05-u,nadxi'ñu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-05-lu,nadxi'ñalu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-06-u,rie'nu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-06-lu,riénelu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-07-u,i'cu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-07-lu,iquelu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-08-u,la'du',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P2-08-lu,ládilu',PERSON,2SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-01,rizaya',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-02,xpiga'ya',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-03,ruaa',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-04,riguié',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-05,cuee',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-06,riree',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-07,xpie',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-08,ribiee',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-09,nadxiee',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-10,raua',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-11,biruaa',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-12,lua',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1A-13,biuaa',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 16,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1G-01,napa',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
