id,domain,finding,epistemic_status,epistemic_detail,source_scope,empirical_scope,analyzer_implication,corrector_implication,tutor_implication,generator_implication,promotion_status,implementation_note,oral_corpus_target,main_risk
BH2019-METH-01,metodología,"El análisis de estructura informativa se apoya en una combinación de habla espontánea, elicitación y juicios de hablantes; los métodos responden preguntas distintas.",SOURCE_ATTESTED_PATTERN,documented_method,BH2019 §§1.4–1.4.2,fieldwork_methodology; spontaneous_speech; elicitation; speaker_judgments,Conservar provenance del método de adquisición.,No inferir error por tipo de fuente.,Explicar diferencias entre uso espontáneo y posibilidad elicitada.,No tratar datos elicitados como frecuencia conversacional.,SAFE_TO_RECORD_NOW,,Registrar acquisition_method/source_method.,Mezclar fuentes y perder su distinto valor probatorio.
BH2019-METH-02,metodología,El habla espontánea puede revelar palabras y estructuras que no emergen al traducir desde una lengua de contacto.,SOURCE_HYPOTHESIS,author_methodological_claim,BH2019 §1.4.1,fieldwork_methodology; spontaneous_speech; elicitation; speaker_judgments,Valorar evidencia espontánea como capa independiente.,No privilegiar calco de español como norma.,Usar ejemplos naturales contextualizados.,No iniciar necesariamente desde una oración española.,SAFE_TO_RECORD_NOW,,Adquirir microinteracciones y habla natural audio-first.,Convertir el español en representación lingüística central.
BH2019-METH-03,metodología,La elicitación con estímulos no lingüísticos sirve para provocar construcciones raras sin imponer una oración de traducción.,SOURCE_ATTESTED_PATTERN,documented_method,BH2019 §1.4.1,fieldwork_methodology; spontaneous_speech; elicitation; speaker_judgments,Etiquetar NONLINGUISTIC_ELICITATION.,Sin corrección automática derivada.,Puede apoyar pares contrastivos.,"Puede suministrar patrones candidatos, no licencias por sí sola.",SAFE_TO_RECORD_NOW,,Diseñar prompts con imágenes/video/juegos.,Confundir elicitación con traducción.
BH2019-PROS-01,prosodia,"La unidad de entonación es una unidad útil de análisis del habla; sus fronteras se identifican mediante múltiples pistas, no por pausa sola.",SOURCE_ATTESTED_PATTERN,analytic_frame,BH2019 §2.2.3,naturally_occurring_discourse; elicited_phonology_background,Aceptar IU opcional si existe; análisis local no depende de ella.,No corregir segmentación sólo por silencios.,Enseñar que pausa y frontera no son equivalentes.,No exigir IU para generar frase aislada.,SAFE_TO_RECORD_NOW,,Conservar opcionalmente audio→turno→IU.,Volver obligatoria la segmentación prosódica.
BH2019-PROS-02,prosodia,"La realización superficial de tono, duración, glotalización/laringización y estrés puede variar según posición prosódica y habla continua.",SOURCE_REPORTED_TENDENCY,documented_generalization,BH2019 §§2.1–2.2.3,naturally_occurring_discourse; elicited_phonology_background,"Separar forma subyacente, ortográfica y realización superficial.",No corregir una forma sólo por desviarse de pronunciación aislada.,Contrastar forma aislada vs. habla continua.,No generar reglas fonéticas deterministas a partir de texto.,SAFE_TO_RECORD_NOW,,Recolectar ocurrencias en distintas posiciones prosódicas.,Confundir reducción prosódica con variante/error.
BH2019-SYN-01,sintaxis,"El orden más común es verbo–sujeto–objeto, pero ZAI no es rígidamente verbo-inicial.",SOURCE_REPORTED_TENDENCY,documented_generalization,BH2019 §§2.3.2–2.3.5,mixed_documented_examples; corpus_examples; prior_grammar,Preferir lectura verbal-inicial sin tratarla como obligación.,No marcar desviación de VSO como error por sí sola.,Explicar orden básico vs. orden marcado.,Usar VSO como default prudente cuando no hay otra intención documentada.,SAFE_TO_RECORD_NOW,,Contrastar orden en corpus espontáneo contemporáneo.,Convertir VSO en plantilla rígida.
BH2019-SYN-02,estructura informativa,"La posición preverbal es un locus privilegiado para varias funciones discursivas, no una etiqueta unívoca de foco.",SOURCE_REPORTED_TENDENCY,documented_generalization,BH2019 §2.3.5,mixed_documented_examples; corpus_examples; prior_grammar,Emitir hipótesis múltiples según construcción.,No corregir por preverbalidad sola.,Enseñar funciones por construcción.,No mover constituyentes por heurística genérica.,SAFE_TO_RECORD_NOW,,Buscar distribución contemporánea por función.,Regla simplista PREVERBAL=FOCUS.
BH2019-REF-01,referencia,"La elección de forma nominal se correlaciona con accesibilidad: referentes menos accesibles tienden a expresiones más plenas; los más accesibles, a formas más reducidas.",SOURCE_HYPOTHESIS,documented_tendency,BH2019 cap. 3,Pear_Story_narratives; seven_bilingual_adults; Juchitan,"Puede puntuar compatibilidad discursiva si hay contexto; sin contexto, mantener abierto.",Nunca convertir tendencia en error categórico.,Explicar por qué cambia la explicitud.,"Usar sólo como preferencia contextual, no licencia dura.",REQUIRES_ORAL_VALIDATION,,Medir introducción/reintroducción/mantenimiento.,Convertir escala de accesibilidad en regla determinista.
BH2019-REF-02,referencia,Los referentes nuevos del corpus analizado se introducen con NPs léxicas; la distribución favorece O y S y evita A.,SOURCE_REPORTED_TENDENCY,corpus_tendency,BH2019 §§3.1.2–3.1.4,Pear_Story_narratives; seven_bilingual_adults; Juchitan,Reconocer introducción nueva si contexto lo muestra.,No corregir nuevo-A automáticamente.,Enseñar estrategias de introducción.,No prohibir A nuevo.,REQUIRES_ORAL_VALIDATION,,Provocar entradas de nuevos participantes en conversación.,Universalizar estadísticas de Pear Story.
BH2019-REF-03,referencia,"El rol S puede funcionar como zona de introducción o reintroducción, especialmente en fronteras de episodio.",SOURCE_REPORTED_TENDENCY,corpus_tendency,BH2019 §3.1.8,Pear_Story_narratives; seven_bilingual_adults; Juchitan,Usar como señal opcional de discurso.,Sin corrección.,Puede apoyar diseño de microescenas.,No imponer construcción presentativa obligatoria.,REQUIRES_ORAL_VALIDATION,,Escenas con cambios episódicos y entrada de participantes.,Sobrerrepresentar narrativa experimental.
