cell_id,candidate_id,entry_id,headword_observed,sense_es,verb_class,tam,person,status,surface_observed,evidence_id,evidence_type,source_id,source_locator,source_context,dialect_scope,subject_realization,orthography_status,license_effect,notes
NC001-V01-HABITUAL-1SG,NC001-V01,eeda,reedà',Venir.,A,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V01-HABITUAL-2SG,NC001-V01,eeda,reedà',Venir.,A,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V01-HABITUAL-3SG_HUMAN,NC001-V01,eeda,reedà',Venir.,A,HABITUAL,3SG_HUMAN,ATTESTED,reedabe,EVID-GP-EEDA-H-3P-001,DIRECT_MORPHOLOGICALLY_GLOSSED_EXAMPLE,BIB004_GRAMATICA_POPULAR,"§8.4, ej. (104a)",Qué reedabe guirá' dxi — no H-venir-3P todo día — ‘No viene todos los días’,JUCHITAN_EXPLICIT,DEPENDENT_3P_BE,SOURCE_EXACT_RENDERING,PARADIGM_CELL_ATTESTED; GENERATION_PENDING_CONSTRUCTION+ORTHOGRAPHIC_PROFILE,Direct cell evidence materialized; this is not by itself a GenerationLicense.
NC001-V01-COMPLETIVE-1SG,NC001-V01,eeda,reedà',Venir.,A,COMPLETIVE,1SG,ATTESTED,benda',EVID-GP-EEDA-C-1SG-001,DIRECT_MORPHOLOGICALLY_GLOSSED_EXAMPLE,BIB004_GRAMATICA_POPULAR,"§8.1, ej. (97a)",Ma' benda' — ya C-venir-1SG — ‘Ya vine’,JUCHITAN_EXPLICIT,1SG_FUSED_SURFACE,SOURCE_EXACT_RENDERING,PARADIGM_CELL_ATTESTED; GENERATION_PENDING_CONSTRUCTION+ORTHOGRAPHIC_PROFILE,Direct cell evidence materialized; this is not by itself a GenerationLicense.
NC001-V01-COMPLETIVE-2SG,NC001-V01,eeda,reedà',Venir.,A,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V01-COMPLETIVE-3SG_HUMAN,NC001-V01,eeda,reedà',Venir.,A,COMPLETIVE,3SG_HUMAN,ATTESTED,beedabe,EVID-GP-EEDA-C-3P-001,DIRECT_MORPHOLOGICALLY_GLOSSED_EXAMPLE,BIB004_GRAMATICA_POPULAR,"§8.6, ej. (117c)",Padxí beedabe — cuándo C-venir-3P — ‘¿Cuándo vino?’,JUCHITAN_EXPLICIT,DEPENDENT_3P_BE,SOURCE_EXACT_RENDERING,PARADIGM_CELL_ATTESTED; GENERATION_PENDING_CONSTRUCTION+ORTHOGRAPHIC_PROFILE,Direct cell evidence materialized; this is not by itself a GenerationLicense.
NC001-V02-HABITUAL-1SG,NC001-V02,e7,re',"Beber, tomar, ingerir, absorber.",C,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V02-HABITUAL-2SG,NC001-V02,e7,re',"Beber, tomar, ingerir, absorber.",C,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V02-HABITUAL-3SG_HUMAN,NC001-V02,e7,re',"Beber, tomar, ingerir, absorber.",C,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V02-COMPLETIVE-1SG,NC001-V02,e7,re',"Beber, tomar, ingerir, absorber.",C,COMPLETIVE,1SG,ATTESTED,güé,EVID-BH-E7-C-1SG-001,DIRECT_AUDIO_CORPUS_TRANSCRIPTION_WITH_MORPH_GLOSS,BIB053_BUENO_HOLLE_JUCHITAN_CORPUS,"Más allá de tópico y foco, ej. (4c), p. 94–95",güé ti jǔgo de narǎnjasi xá — gü-e-a’ — COMPL-beber=1SG — ‘bebí solamente un jugo de naranja’,JUCHITAN_FIELDWORK_CORPUS_EXPLICIT,1SG_CLITIC_FUSION,SOURCE_TRANSCRIPTION_WITH_TONE_DIACRITICS,PARADIGM_CELL_ATTESTED; GENERATION_PENDING_ORTHOGRAPHIC_PROFILE,Direct cell evidence materialized; this is not by itself a GenerationLicense.
